ID,OrgStructureName,Code,IsRoot,AddressDetail,Phone,ParentID,DecisionDate,Status
36C2F61F-307C-4A51-A150-0022D957F0D3,Chuyền 04,6324005,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,2FDD694A-DAD4-44F0-BF41-A418836FAD08,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
1560D69A-B684-4762-913D-003400F3952E,Quản lý sản xuất,633010,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,4195D788-5F64-4A8F-AFFF-F997EB3ADC15,Sun Oct 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
CF01AD24-6FA0-425E-ADCA-004B367EEC31,Chuyền 5,291005,0,,,997027EA-BF7A-4369-8D61-9D2957FF41C7,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
6FDEEE1B-4BAB-4155-95A9-005B5669EEAE,Sửa hàng + Đa năng,P02113,0,,,DC70E9DE-732D-4F2F-B955-3E4B9CD89C93,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
51456E5E-AEE0-48C9-869A-00A54421E09A,Bộ phận đóng thùng,301305,0,,,24DA5D8A-780D-4F59-B114-EF22A207A261,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
D1739D97-7FCF-433B-BCB9-00B023B3A35B,PP1,391416,0,"Lô M, đường số 3, KCN Hòa Khánh Bắc, quận Liên Chiểu, Đà Nẵng",,9D66F10B-DA10-4CA3-8ABC-CCA9B26F870F,Sun Jul 01 2018 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
72E8490A-ED4B-47CF-8826-0AB96EE7E856,Chuyền 4,P04710,0,,,88EA1B3C-F341-4911-864E-2B1FE0269460,Sun Oct 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
267DF00D-9124-4356-A195-0ABB2BA0EE54,Quản lý chất lượng hoàn tất,632207,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,1700E3BB-E75A-4326-9CAA-983CB3A0D47B,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
AC80912B-8958-48BC-9454-0ABCB17D9456,Tổ  Chuẩn bị,461001,0,,,CF4AC219-FD47-425D-8195-586832B6A974,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
AA13A0F5-7A51-4ECE-BB14-0B07E456652F,Tổ hoàn thành,802010,0,Khu công nghiệp Phú Đa - Thị trấn Phú Đa - Huyện Phú Vang - Tỉnh Thừa Thiên Huế,2343898417,A218C642-4C0B-4868-BBE8-B20EB7DE1F04,Mon May 28 2018 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
B209172C-B063-4460-8A65-0B09F005C888,Chuyền 15,509120,0,,,C3311927-A94D-4B42-BAAD-1D55185247FC,Tue Oct 02 2018 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
C5710900-E1DE-4989-87EB-0B19357DF57E,Chuyền 11,633125,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,5C69EC66-734D-4BF7-B5C8-441DF6DC8DCA,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_INACTIVE
2ABCF11F-98B4-4BE4-B6A3-12F315023FE8,Bộ phận Cơ điện - Bảo Trì,220600,0,,,5FE4928F-0C36-46A7-927F-70BB551692EF,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
1F65502F-9F30-40BD-8BAF-132B22120331,Chuyền 04,471004,0,,,CD5AF4B8-D569-4008-9C20-7A9B5BA49920,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
3031BCB4-8CC7-47F6-89EF-13C4D7B8174E,Bộ phận cắt chỉ,480018,0,,,A03E614D-BFAD-4514-9545-2468538CC577,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_TERMINATE
53F4C673-0751-4E71-9C1A-13CA5A70F2F2,"BP.HKSX, KH Thống Kê",V11201,0,,,566845C3-4024-4D5F-9C9B-0DAB7348C473,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_TERMINATE
E44B8B9A-1BE2-499A-93B4-1402B96D009F,Chuyền 11,411009,0,,,7ABCC41B-34E6-4B35-A514-C0F4BEF240D0,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
ECFA16D0-69CE-4C31-B1B3-1751C715CD8A,Chuyền 10,P01710,0,,,29C6B628-0663-47DC-8627-6A0100A6CF6C,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
89432378-E508-4281-8ED2-175C02B1A254,BP. Wash,642003,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,2CBBDD93-398F-46B4-A2DE-01351F8D4EC5,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
9BFD0C4D-027F-4CC1-8830-176958705745,Phòng TQM,120001,0,,,0F644B17-9F89-4266-A233-12DA037FDA8F,Thu Aug 01 2019 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
C01B74EB-A8E8-498E-9FE3-176F1EBC02B4,Chuyền 03,471003,0,,,CD5AF4B8-D569-4008-9C20-7A9B5BA49920,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
3AF1DE76-6BA4-4074-8795-179D6693A4FF,Chuyền 09,301004,0,,,0BCEC396-F3B2-4C68-82E9-06F02328919F,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
3A44F77B-D8B5-4999-A31E-17AB2CC682BA,"Bộ phận đóng nút, cắt chỉ",331301,0,,,AED73221-E2A8-4F35-AC10-B8FAD196ABB8,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
5578098E-4703-41EE-94FF-1E46FCA6E3F5,BP. Kế toán,627000,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,00933B08-5FA3-4528-9512-6BA3780DC145,Sun Oct 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
AF151967-E82A-44B9-AB72-1E6489283445,Ép keo,827001,0,,,C12511B4-2E08-4957-A52F-8542B317DA4D,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
E7749966-B196-43F7-B9FF-1EDDC4CB5F5C,Chuyền 2,231006,0,,,6AED13FF-B08A-4DE8-8AE6-91CC7FFFAE32,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
0E256756-29BB-4830-9AA0-1F08762400FC,Chuyền 06,P01706,0,,,29C6B628-0663-47DC-8627-6A0100A6CF6C,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
D6C7CFDF-1479-4A29-AC28-1F1DAAF75E2D,Chuyền 03,P01703,0,,,29C6B628-0663-47DC-8627-6A0100A6CF6C,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
833B25FE-6F23-48B0-A8FC-21217B01B559,"Bộ phận cào lông, mài",581644,0,,,CB07F968-CD9B-45F9-B498-0C92C5A76A9F,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
445E1201-9F6D-4450-9825-214E4E7F3194,Phòng Kế hoạch,294000,0,,,5D011C8A-CD46-4933-BDF7-4754BF4CADC4,Fri May 01 2020 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
C8453535-5441-46DE-9462-2190BB818383,Chuyền 10,311010,0,,,C23B24AA-AB66-44CA-8D8F-FA30E36469FF,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
F972EF30-5D31-4E76-9531-2195021FBD6A,Bộ phận Quản lý sản xuất ,390800,0,"Lô M, đường số 3, KCN Hòa Khánh, Liên Chiểu, Đà Nẵng",,DFFE8F09-AA07-4340-BABE-564D730085CB,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_INACTIVE
812E932F-2BDF-412A-B6BF-21F9A1804398,BP. HCNS - Kế Toán,634002,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,C3561BC7-8BE8-4995-A996-E8A18C80B089,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
1BD2DB8F-5310-450A-94CE-223017F3DC7F,BP. Đóng thùng,632406,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,263C9939-BECE-42A0-905C-A13D1F33DF96,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
83BA0C3B-38B2-439B-9B89-2235667748AC,Chuyền 10,828007,0,,,42212C6B-643C-4FDC-AE41-500654CFCDDB,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
B467A166-68F7-44BC-97FE-227F17B4EEB4,Inline Wash,271223,0,,,AB213963-4554-4AF2-8163-82C32F947172,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
B9DEDDD5-D3E7-4408-A7D6-2A6B957A3B96,Bp Spray,642005,0,"27, Nguyễn Thị Bảy, Phường 6, Thành phố Tân An, Long An",,2CBBDD93-398F-46B4-A2DE-01351F8D4EC5,Fri Sep 01 2017 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
53A33A00-CA69-4DC1-AA8B-2ADC152E19C4,Tạp vụ,616002,0,"940, Quốc Lộ 1, Phường Linh Trung, Quận Thủ Đức, Tp. Hồ Chí Minh",,0E57BE40-4D7A-4DB4-9583-279AE360B1DC,Fri Jun 01 2018 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
FEF0C86A-EC64-4BF2-B5A5-2B1433FCE9BD,Hành Chánh Nhân sự - Tiền lương,410201,0,,,,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
88EA1B3C-F341-4911-864E-2B1FE0269460,Chuyền May,P04700,0,,,F9DC4293-3F07-4326-8E10-26B4EA17CDC2,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
DEC86DEC-7B14-4E13-BCF2-2B253A62DC96,Tổ điện,930018,0,,,7C58183C-89F3-4E14-82A3-8BA7B4E70890,Fri Mar 01 2019 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
14FAB547-7E84-49EB-A770-2B5DBC3DE06A,HS5,2714134,0,,,0993AFDB-A507-4BEC-9D50-DF445EEF454F,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_INACTIVE
88A7FF0A-124E-4A5E-B169-2B7CE58D9C3E,Nhóm Kế hoạch gia công,582001,0,"48, Tăng Nhơn Phú, Tăng Nhơn Phú B, Quận 9, Tp. Hồ Chí Minh",,164C033A-74DE-4EF1-BEA4-33A8582BD181,Thu Mar 01 2018 00:00:00 GMT+0700 (Indochina Time),E_APPROVED
8E64A6E4-6E16-4BC9-82EF-2B9ACA87B507,Hành Chánh Nhân sự - Tiền lương,410201,0,,,88E00E24-48D9-46F2-9753-7419C6366BD0,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
E02870C7-9C83-4D19-BD66-3242A16D4566,Chuyền 4,411004,0,,,7ABCC41B-34E6-4B35-A514-C0F4BEF240D0,Thu Jan 01 1970 07:00:00 GMT+0700 (Indochina Time),E_APPROVED
